                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.4336,                0.99582,                0.92393,                0.52005,                0.36407,                0.38649,                0.22985,                 1.3158,                0.92896,                0.90546,               0.005875,               0.005875,               0.005875
                    128,                 1.4278,                 1.0081,                0.92299,                0.50673,                0.35667,                0.38169,                0.22529,                  1.323,                0.94094,                0.90671,               0.005842,               0.005842,               0.005842
                    129,                 1.4366,                0.99453,                0.92212,                0.51848,                0.36343,                0.39087,                0.23044,                  1.338,                0.93214,                0.90689,               0.005809,               0.005809,               0.005809
                    130,                 1.3774,                0.96419,                0.91627,                0.51659,                0.37721,                0.39757,                0.23573,                 1.3192,                0.92322,                0.90763,               0.005776,               0.005776,               0.005776
                    131,                 1.4153,                0.99056,                0.92576,                0.50892,                0.37656,                 0.3955,                0.23032,                 1.3414,                0.92528,                0.90845,               0.005743,               0.005743,               0.005743
                    132,                 1.4147,                0.98468,                0.92004,                0.52585,                0.36537,                0.39507,                0.23469,                 1.3185,                0.94498,                0.90684,                0.00571,                0.00571,                0.00571
                    133,                 1.4043,                0.97945,                0.92103,                 0.5019,                0.37892,                0.39941,                0.23802,                 1.3087,                0.91591,                0.90451,               0.005677,               0.005677,               0.005677
                    134,                 1.4134,                0.99098,                0.92109,                0.50151,                0.35805,                0.37801,                0.22428,                 1.3418,                0.94414,                0.90957,               0.005644,               0.005644,               0.005644
                    135,                 1.3866,                0.96745,                0.91714,                0.51921,                0.36678,                0.39575,                0.23632,                 1.3093,                0.93185,                0.90368,               0.005611,               0.005611,               0.005611
                    136,                 1.4268,                 1.0103,                0.92541,                0.51405,                0.37124,                0.39104,                0.23241,                  1.321,                0.93807,                0.90615,               0.005578,               0.005578,               0.005578
                    137,                 1.3852,                0.97395,                 0.9221,                0.50214,                0.37597,                0.39343,                0.23214,                 1.3229,                0.91416,                0.90578,               0.005545,               0.005545,               0.005545
                    138,                 1.4048,                0.97442,                0.91618,                  0.524,                0.36169,                 0.3917,                0.23286,                 1.3177,                0.92911,                0.90259,               0.005512,               0.005512,               0.005512
                    139,                 1.4102,                0.98944,                0.91738,                0.53134,                0.37196,                 0.3999,                0.23686,                 1.3177,                0.92158,                0.90706,               0.005479,               0.005479,               0.005479
                    140,                 1.3892,                0.96583,                0.91941,                0.51564,                0.37328,                0.39716,                0.23484,                 1.3253,                0.91151,                0.90625,               0.005446,               0.005446,               0.005446
                    141,                 1.4364,                0.98632,                0.92279,                0.51221,                0.36578,                0.38889,                0.22953,                 1.3207,                0.93859,                0.90421,               0.005413,               0.005413,               0.005413
                    142,                 1.4114,                0.97565,                0.92034,                0.50228,                0.36208,                0.38358,                0.22345,                 1.3526,                0.94269,                0.90959,                0.00538,                0.00538,                0.00538
                    143,                 1.3899,                0.96344,                0.92053,                0.51828,                0.37619,                0.40002,                0.23832,                 1.3098,                0.91201,                0.90323,               0.005347,               0.005347,               0.005347
                    144,                 1.3939,                0.96058,                0.91804,                0.56433,                0.36985,                0.40959,                0.24517,                 1.2946,                0.89105,                0.90226,               0.005314,               0.005314,               0.005314
                    145,                 1.3972,                0.95776,                0.91669,                0.52196,                 0.3855,                0.40884,                0.24401,                 1.2891,                0.88529,                0.89914,               0.005281,               0.005281,               0.005281
                    146,                 1.3922,                0.96259,                0.91568,                 0.5364,                0.38714,                0.41298,                0.24413,                 1.2927,                0.88876,                0.89874,               0.005248,               0.005248,               0.005248
                    147,                 1.3698,                0.95699,                0.91497,                 0.5242,                0.39303,                0.40932,                 0.2442,                 1.3004,                0.90104,                0.90205,               0.005215,               0.005215,               0.005215
                    148,                 1.3793,                0.95261,                0.91625,                0.53413,                0.38656,                0.41545,                0.24772,                 1.2936,                0.88208,                0.89816,               0.005182,               0.005182,               0.005182
                    149,                 1.3953,                0.97162,                0.91914,                0.51879,                0.38413,                 0.4064,                0.24174,                 1.3031,                0.89661,                0.89798,               0.005149,               0.005149,               0.005149
                    150,                 1.4095,                0.96245,                0.91672,                0.49407,                0.36912,                0.39128,                0.22947,                 1.3397,                0.91975,                0.90449,               0.005116,               0.005116,               0.005116
                    151,                 1.3861,                0.95353,                0.91342,                0.51225,                0.36012,                 0.3914,                0.23298,                 1.3119,                0.91265,                0.90173,               0.005083,               0.005083,               0.005083
                    152,                 1.3877,                0.95262,                0.91362,                0.54888,                 0.3861,                0.41489,                0.24737,                 1.3008,                0.88922,                0.90089,                0.00505,                0.00505,                0.00505
                    153,                 1.3786,                0.94778,                0.91283,                0.54171,                0.38026,                 0.4155,                0.24929,                 1.2927,                0.88233,                0.89817,               0.005017,               0.005017,               0.005017
